year,month,export_country,export_country_code,export_country_region,export_country_subregion,export_country_latitude,export_country_longitude,import_country,import_country_code,import_country_region,import_country_subregion,import_country_latitude,import_country_longitude,commodity,value,quantity,unit_price
2015,5,Ecuador,ECU,Americas,Latin America and the Caribbean,-1.464036749,-78.05190165,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,67131856,1097435,0.30375524089378003
2015,5,Guatemala,GTM,Americas,Latin America and the Caribbean,15.699081,-90.35850945,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,13748787,261483,0.09394309682291803
2015,5,Iraq,IRQ,Asia,Western Asia,33.04497404,43.77207391,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,462622295,9126908,0.0477315948715095
2015,5,Kuwait,KWT,Asia,Western Asia,29.29832118,47.53304536,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,9763158,173968,0.18040182742482933
2015,5,Kuwait,KWT,Asia,Western Asia,29.29832118,47.53304536,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,301052381,5281742,0.20184974036368708
2015,5,Mexico,MEX,Americas,Latin America and the Caribbean,23.93832004,-102.5023164,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,725773738,13622852,0.11094370475541622
2015,5,Mexico,MEX,Americas,Latin America and the Caribbean,23.93832004,-102.5023164,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,493236,12216,-0.2040829249687316
2015,5,Mexico,MEX,Americas,Latin America and the Caribbean,23.93832004,-102.5023164,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,395058898,6486655,0.29720389621568555
2015,5,Nigeria,NGA,Africa,Sub-Saharan Africa,9.590667555,8.10605344,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,87825352,1342102,0.4079598485783218
2015,5,Peru,PER,Americas,Latin America and the Caribbean,-9.167216491,-74.37537796,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,21465184,359331,0.26870955202860086
2015,5,Saudi Arabia,SAU,Asia,Western Asia,24.12628999,44.54637538,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,9763158,173968,0.18040182742482933
2015,5,Saudi Arabia,SAU,Asia,Western Asia,24.12628999,44.54637538,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,1874438355,34381315,0.14129632069572604
2015,5,United Kingdom,GBR,Europe,Northern Europe,53.75504855,-2.103843405,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,32656686,505975,0.3860651341884432
2015,5,United States,USA,Americas,Northern America,45.73643438,-112.404207,Mexico,MEX,Americas,Latin America and the Caribbean,23.93832004,-102.5023164,oil,1130,0,-1.1900998321206508
2015,6,Albania,ALB,Europe,Southern Europe,41.13180899,20.06882519,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,15579224,268561,0.22654667484099555
2015,6,Algeria,DZA,Africa,Northern Africa,28.16474462,2.63351219,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,64862356,1060709,0.3032277424395262
2015,6,Angola,AGO,Africa,Sub-Saharan Africa,-12.3755731,17.59867248,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,45079526,748827,0.2800326204598541
2015,6,Angola,AGO,Africa,Sub-Saharan Africa,-12.3755731,17.59867248,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,124114343,1746748,0.5451033553740583
2015,6,Argentina,ARG,Americas,Latin America and the Caribbean,-34.98567234,-65.12225892,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,64607266,1040548,0.32617477952799706
2015,6,Argentina,ARG,Americas,Latin America and the Caribbean,-34.98567234,-65.12225892,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,3916884,65281,0.27515286754881385
